count,time,ch1,ch2,ch3,ch4,s10_matched_angle,s8_matched_angle,main_distance,slove_distance
"[104.19562373812337, 30.65896411350878, 20, '17:58:16']",98977040,85131520,567225635,85283957,109.97,69.09200286865234
"[104.19559376552536, 30.659051500119887, 21, '17:58:17']",104355718,80480615,575332064,87255528,108.72,56.007999420166016
"[104.19559376552536, 30.659051500119887, 22, '17:58:18']",104355718,80480615,575332064,87255528,108.72,56.007999420166016
"[104.19559376552536, 30.659051500119887, 23, '17:58:19']",106556998,82613273,578068343,85527581,108.72,56.007999420166016
"[104.19559376552536, 30.659051500119887, 24, '17:58:20']",106556998,82613273,578068343,85527581,108.72,56.007999420166016
"[104.19559376552536, 30.659051500119887, 25, '17:58:22']",102536732,82648496,569825443,89040443,108.72,56.007999420166016
"[104.19556829748896, 30.659111204166482, 26, '17:58:23']",102536732,82648496,569825443,89040443,108.72,44.02000045776367
"[104.19556609478605, 30.659111160549273, 27, '17:58:24']",103715576,95453143,583769270,88033873,109.43,44.02000045776367
"[104.19556609478605, 30.659111160549273, 28, '17:58:25']",103715576,95453143,583769270,88033873,109.43,44.02000045776367
"[104.19555903504812, 30.659111020754636, 29, '17:58:26']",103777161,105901895,574507247,88358145,111.76,44.02000045776367
"[104.19555903504812, 30.659111020754636, 30, '17:58:28']",103777161,105901895,574507247,88358145,111.76,44.02000045776367
"[104.19556700140564, 30.659084510640277, 31, '17:58:29']",110594958,113857553,584862306,86643275,112.3,50.034000396728516
"[104.19556700140564, 30.659084510640277, 32, '17:58:30']",110594958,113857553,584862306,86643275,112.3,50.034000396728516
"[104.19556635855459, 30.6590845761909, 33, '17:58:31']",113695714,118624270,601642448,84565768,112.48,50.034000396728516
"[104.19556635855459, 30.6590845761909, 34, '17:58:32']",113695714,118624270,601642448,84565768,112.48,50.034000396728516
"[104.19556635855459, 30.6590845761909, 35, '17:58:34']",104221315,115469921,596667501,90969784,112.48,50.034000396728516
"[104.19559731691136, 30.65899814285174, 36, '17:58:35']",104221315,115469921,596667501,90969784,112.48,65.63800048828125
"[104.19559731691136, 30.65899814285174, 37, '17:58:36']",109225744,122851050,598237412,88972049,112.48,65.63800048828125
"[104.19559731691136, 30.65899814285174, 38, '17:58:37']",109225744,122851050,598237412,88972049,112.48,65.63800048828125
"[104.1955870865217, 30.659002603173693, 39, '17:58:38']",104041722,126357268,588384940,82449273,114.27,65.63800048828125
"[104.1955870865217, 30.659002603173693, 40, '17:58:40']",104041722,126357268,588384940,82449273,114.27,65.63800048828125
"[104.1955973299207, 30.658971272306204, 41, '17:58:41']",100607073,128823778,592972506,81308295,114.27,70.16000366210938
"[104.1955973299207, 30.658971272306204, 42, '17:58:42']",100607073,128823778,592972506,81308295,114.27,70.16000366210938
"[104.1955973299207, 30.658971272306204, 43, '17:58:43']",100410209,133076010,568165280,76835316,114.27,70.16000366210938
"[104.1955973299207, 30.658971272306204, 44, '17:58:44']",100410209,133076010,568165280,76835316,114.27,70.16000366210938
"[104.1955973299207, 30.658971272306204, 45, '17:58:46']",98216085,135181592,573639697,84693159,114.27,70.16000366210938
"[104.19560389599758, 30.65895118904234, 46, '17:58:47']",98216085,135181592,573639697,84693159,114.27,72.72000122070312
"[104.19560389599758, 30.65895118904234, 47, '17:58:48']",102911210,132046553,566985831,67573518,114.27,72.72000122070312
