count,time,ch1,ch2,ch3,ch4,s10_matched_angle,s8_matched_angle,main_distance,slove_distance
"[104.19503528341528, 30.6592289775643, 130, '18:05:13']",56812486,37534585,25340862,27661838,39.65,63.64400100708008
"[104.19504723060527, 30.65922431142898, 131, '18:05:14']",54438987,32781751,22779706,24126190,39.0,63.64400100708008
"[104.19504723060527, 30.65922431142898, 132, '18:05:15']",54438987,32781751,22779706,24126190,39.0,63.64400100708008
"[104.19503734779073, 30.65922817129477, 133, '18:05:17']",54573565,37396413,26324591,28543646,39.54,63.64400100708008
"[104.19493448955748, 30.659216790231714, 134, '18:05:18']",54573565,37396413,26324591,28543646,39.54,57.93600082397461
"[104.19496832216264, 30.65920779447763, 135, '18:05:19']",51868495,32074027,22655956,22279287,38.36,57.93600082397461
"[104.19496832216264, 30.65920779447763, 136, '18:05:20']",51868495,32074027,22655956,22279287,38.36,57.93600082397461
"[104.19506269284017, 30.659182702250654, 137, '18:05:21']",54900155,35389400,29924425,25536813,34.15,57.93600082397461
"[104.19506269284017, 30.659182702250654, 138, '18:05:23']",54900155,35389400,29924425,25536813,34.15,57.93600082397461
"[104.19514605969928, 30.659223178919593, 139, '18:05:24']",53031441,36541652,28196755,24547378,37.17,71.45800018310547
"[104.19514605969928, 30.659223178919593, 140, '18:05:25']",53031441,36541652,28196755,24547378,37.17,71.45800018310547
"[104.19516914111344, 30.659209881807747, 141, '18:05:26']",51254808,42967372,43441523,23421835,34.67,71.45800018310547
"[104.19516914111344, 30.659209881807747, 142, '18:05:27']",51254808,42967372,43441523,23421835,34.67,71.45800018310547
"[104.19516914111344, 30.659209881807747, 143, '18:05:29']",52384492,39503479,37671127,24775601,34.67,71.45800018310547
"[104.19487500196482, 30.659147819415075, 144, '18:05:30']",52384492,39503479,37671127,24775601,34.67,49.279998779296875
"[104.19485290975636, 30.65914973334194, 145, '18:05:31']",55054139,39591355,42171306,28371356,35.16,49.279998779296875
"[104.19485290975636, 30.65914973334194, 146, '18:05:32']",55054139,39591355,42171306,28371356,35.16,49.279998779296875
"[104.19481963832473, 30.659152615764807, 147, '18:05:33']",51951927,37543608,29619254,25861998,35.84,49.279998779296875
"[104.19481963832473, 30.659152615764807, 148, '18:05:35']",51951927,37543608,29619254,25861998,35.84,49.279998779296875
"[104.19497662787488, 30.65916360701441, 149, '18:05:36']",53028318,33216758,28188772,24591299,34.15,52.52199935913086
"[104.19497662787488, 30.65916360701441, 150, '18:05:37']",53028318,33216758,28188772,24591299,34.15,52.52199935913086
"[104.19478679019836, 30.65919262415204, 151, '18:05:38']",53198863,32796873,22997151,24493426,39.0,52.52199935913086
"[104.19478679019836, 30.65919262415204, 152, '18:05:39']",53198863,32796873,22997151,24493426,39.0,52.52199935913086
"[104.19487215314118, 30.65917957622443, 153, '18:05:41']",52256591,32992217,26194115,23069327,37.17,52.52199935913086
"[104.19441524545624, 30.65910684190716, 154, '18:05:42']",52256591,32992217,26194115,23069327,37.17,45.0
"[104.19494400365278, 30.65910684190716, 155, '18:05:43']",56693803,34243034,32711307,25315723,29.94,45.0
"[104.19494400365278, 30.65910684190716, 156, '18:05:44']",56693803,34243034,32711307,25315723,29.94,45.0
"[104.19463482334717, 30.65910684190716, 157, '18:05:45']",67414239,32848902,26605456,23075111,35.21,45.0
"[104.19463482334717, 30.65910684190716, 158, '18:05:47']",67414239,32848902,26605456,23075111,35.21,45.0
"[104.19611334631506, 30.659418525015433, 159, '18:05:48']",77469168,41587817,35835388,25050299,33.94,25.618000030517578
"[104.19611334631506, 30.659418525015433, 160, '18:05:49']",77469168,41587817,35835388,25050299,33.94,25.618000030517578
"[104.1959235960029, 30.659341250236775, 161, '18:05:50']",57349346,33673273,24078225,22352337,37.82,25.618000030517578
"[104.1959235960029, 30.659341250236775, 162, '18:05:51']",57349346,33673273,24078225,22352337,37.82,25.618000030517578
"[104.19599744060736, 30.65937132304878, 163, '18:05:53']",61736005,45178847,36562640,25803758,35.95,25.618000030517578
"[104.19611935886944, 30.65939380240912, 164, '18:05:54']",61736005,45178847,36562640,25803758,35.95,27.18400001525879
"[104.19603371870775, 30.65936194260332, 165, '18:05:55']",44542494,48077034,43935389,26293625,37.4,27.18400001525879
"[104.19603371870775, 30.65936194260332, 166, '18:05:56']",44542494,48077034,43935389,26293625,37.4,27.18400001525879
"[104.19603371870775, 30.65936194260332, 167, '18:05:57']",49283693,48384549,42649567,26355876,37.4,27.18400001525879
"[104.19603371870775, 30.65936194260332, 168, '18:05:59']",49283693,48384549,42649567,26355876,37.4,27.18400001525879
"[104.19637576680555, 30.659404844454116, 169, '18:06:00']",70771869,59618390,50683934,28542474,37.95,30.937999725341797
"[104.19637576680555, 30.659404844454116, 170, '18:06:01']",70771869,59618390,50683934,28542474,37.95,30.937999725341797
"[104.19642237023163, 30.659418357188326, 171, '18:06:02']",75399175,76792366,45668871,27193986,37.59,30.937999725341797
"[104.19642237023163, 30.659418357188326, 172, '18:06:03']",75399175,76792366,45668871,27193986,37.59,30.937999725341797
