count,time,ch1,ch2,ch3,ch4,s10_matched_angle,s8_matched_angle,main_distance,slove_distance
"[104.19550332728785, 30.6592641060632, 1, '17:56:14']",122645711,92689355,534902884,117712518,107.82,3.8259999752044678
"[104.19550332728785, 30.6592641060632, 2, '17:56:17']",122645711,92689355,534902884,117712518,107.82,3.8259999752044678
"[104.19550332728785, 30.6592641060632, 3, '17:56:18']",167797972,112678270,582612154,128236199,107.82,3.8259999752044678
"[104.19550082864278, 30.65926973893357, 4, '17:56:19']",167797972,112678270,582612154,128236199,107.82,2.361999988555908
"[104.1955006560967, 30.659269555020124, 5, '17:56:20']",113154253,103077628,523327800,107434161,109.25,2.361999988555908
"[104.1955006560967, 30.659269555020124, 6, '17:56:21']",113154253,103077628,523327800,107434161,109.25,2.361999988555908
"[104.19550027891471, 30.659269152989303, 7, '17:56:23']",154030530,136895669,544960736,82580339,112.3,2.361999988555908
"[104.19550027891471, 30.659269152989303, 8, '17:56:24']",154030530,136895669,544960736,82580339,112.3,2.361999988555908
"[104.19551702938043, 30.659222799124326, 9, '17:56:25']",147005098,115096463,527594822,87099188,112.3,14.347999572753906
"[104.19551702938043, 30.659222799124326, 10, '17:56:26']",147005098,115096463,527594822,87099188,112.3,14.347999572753906
"[104.19552113735364, 30.659225617268362, 11, '17:56:27']",141662941,82668455,512503791,82063791,107.1,14.347999572753906
"[104.19552113735364, 30.659225617268362, 12, '17:56:29']",141662941,82668455,512503791,82063791,107.1,14.347999572753906
"[104.19552113735364, 30.659225617268362, 13, '17:56:30']",138103290,81410001,514416384,100852781,107.1,14.347999572753906
"[104.19553491529868, 30.659195494340853, 14, '17:56:31']",138103290,81410001,514416384,100852781,107.1,22.719999313354492
"[104.19553491529868, 30.659195494340853, 15, '17:56:32']",131239738,81702032,528929420,89308332,107.1,22.719999313354492
"[104.19553491529868, 30.659195494340853, 16, '17:56:33']",131239738,81702032,528929420,89308332,107.1,22.719999313354492
"[104.19553491529868, 30.659195494340853, 17, '17:56:35']",140284217,87100241,525451611,88005067,107.1,22.719999313354492
"[104.19553491529868, 30.659195494340853, 18, '17:56:36']",140284217,87100241,525451611,88005067,107.1,22.719999313354492
"[104.19553203807976, 30.65920294428383, 19, '17:56:37']",130528395,85890977,514574321,79213456,106.74,20.719999313354492
"[104.19553203807976, 30.65920294428383, 20, '17:56:38']",130528395,85890977,514574321,79213456,106.74,20.719999313354492
"[104.19553161000698, 30.65920272074959, 21, '17:56:39']",133110083,84536627,517040641,87955451,107.1,20.719999313354492
"[104.19553161000698, 30.65920272074959, 22, '17:56:41']",133110083,84536627,517040641,87955451,107.1,20.719999313354492
"[104.19553161000698, 30.65920272074959, 23, '17:56:42']",136291360,72134432,477903060,94068723,107.1,20.719999313354492
"[104.19551871488123, 30.659230913556016, 24, '17:56:43']",136291360,72134432,477903060,94068723,107.1,12.878000259399414
"[104.19551871488123, 30.659230913556016, 25, '17:56:44']",159091196,85651804,526482944,88810948,107.1,12.878000259399414
"[104.19551871488123, 30.659230913556016, 26, '17:56:45']",159091196,85651804,526482944,88810948,107.1,12.878000259399414
"[104.195514035067, 30.659227512374684, 27, '17:56:47']",127806988,136979381,548913728,89733857,113.73,12.878000259399414
"[104.195514035067, 30.659227512374684, 28, '17:56:48']",127806988,136979381,548913728,89733857,113.73,12.878000259399414
"[104.19563548466735, 30.658975618024794, 29, '17:56:49']",123310755,81999812,533923790,87203824,107.1,66.5199966430664
"[104.19563548466735, 30.658975618024794, 30, '17:56:50']",123310755,81999812,533923790,87203824,107.1,66.5199966430664
"[104.19563548466735, 30.658975618024794, 31, '17:56:51']",126639155,74026790,518002666,88952500,107.1,66.5199966430664
"[104.19563548466735, 30.658975618024794, 32, '17:56:53']",126639155,74026790,518002666,88952500,107.1,66.5199966430664
"[104.19563548466735, 30.658975618024794, 33, '17:56:54']",113471366,77010329,512119157,84642570,107.1,66.5199966430664
"[104.19564391555582, 30.6589571854471, 34, '17:56:55']",113471366,77010329,512119157,84642570,107.1,68.5999984741211
"[104.19564391555582, 30.6589571854471, 35, '17:56:56']",123709327,78559016,522483549,86381482,107.1,68.5999984741211
