count,time,ch1,ch2,ch3,ch4,s10_matched_angle,s8_matched_angle,main_distance,slove_distance
"[104.1986447887622, 30.659401163556403, 27, '17:53:30']",19685264,25438835,18293697,20484396,43.08,40.59000015258789
"[104.1986447887622, 30.659401163556403, 28, '17:53:31']",19685264,25438835,18293697,20484396,43.08,40.59000015258789
"[104.1986447887622, 30.659401163556403, 29, '17:53:31']",22397770,26454294,19821918,22549017,43.08,40.59000015258789
"[104.1986447887622, 30.659401163556403, 30, '17:53:32']",22397770,26454294,19821918,22549017,43.08,40.59000015258789
"[104.1986447887622, 30.659401163556403, 31, '17:53:32']",20696534,25860274,19414547,21938165,43.08,40.59000015258789
"[104.1986447887622, 30.659401163556403, 32, '17:53:33']",20696534,25860274,19414547,21938165,43.08,40.59000015258789
"[104.1971492415451, 30.659267648200945, 33, '17:53:33']",30981089,34646754,22767142,33437583,45.34,40.59000015258789
"[104.1971492415451, 30.659267648200945, 34, '17:53:34']",30981089,34646754,22767142,33437583,45.34,40.59000015258789
"[104.20181062282475, 30.659683794191764, 35, '17:53:35']",22748597,26286600,20027199,22912331,41.83,40.59000015258789
"[104.20615437729798, 30.659962279115412, 36, '17:53:35']",22748597,26286600,20027199,22912331,41.83,41.0880012512207
"[104.19947112766741, 30.659433230364996, 37, '17:53:36']",23235821,26887881,20082909,24545830,43.08,41.0880012512207
"[104.19947112766741, 30.659433230364996, 38, '17:53:37']",23235821,26887881,20082909,24545830,43.08,41.0880012512207
"[104.19947112766741, 30.659433230364996, 39, '17:53:37']",23909392,26660425,19202149,23134307,43.08,41.0880012512207
"[104.19947112766741, 30.659433230364996, 40, '17:53:38']",23909392,26660425,19202149,23134307,43.08,41.0880012512207
"[104.19736102031551, 30.659266193411497, 41, '17:53:38']",24460473,25865182,18750024,24109350,45.34,41.0880012512207
"[104.19736102031551, 30.659266193411497, 42, '17:53:39']",24460473,25865182,18750024,24109350,45.34,41.0880012512207
"[104.19947112766741, 30.659433230364996, 43, '17:53:39']",21888281,25633255,19334259,22914493,43.08,41.0880012512207
"[104.19947112766741, 30.659433230364996, 44, '17:53:40']",21888281,25633255,19334259,22914493,43.08,41.0880012512207
"[104.19947112766741, 30.659433230364996, 45, '17:53:40']",20577117,25801566,19729682,22206452,43.08,41.0880012512207
"[104.20083337185693, 30.65948609344987, 46, '17:53:41']",20577117,25801566,19729682,22206452,43.08,41.582000732421875
"[104.20083337185693, 30.65948609344987, 47, '17:53:42']",20680559,25714766,19692363,22366952,43.08,41.582000732421875
"[104.20083337185693, 30.65948609344987, 48, '17:53:43']",20680559,25714766,19692363,22366952,43.08,41.582000732421875
"[104.22769708234343, 30.66134341578109, 49, '17:53:43']",21367698,26146979,20650233,23733994,41.83,41.582000732421875
"[104.22769708234343, 30.66134341578109, 50, '17:53:44']",21367698,26146979,20650233,23733994,41.83,41.582000732421875
"[104.1971492415451, 30.659267648200945, 51, '17:53:44']",23526413,27107610,20650334,26916921,45.34,40.59000015258789
"[104.1971492415451, 30.659267648200945, 52, '17:53:45']",23526413,27107610,20650334,26916921,45.34,40.59000015258789
"[104.1986447887622, 30.659401163556403, 53, '17:53:45']",23768844,26941652,19974829,23378692,43.08,40.59000015258789
"[104.1986447887622, 30.659401163556403, 54, '17:53:46']",23768844,26941652,19974829,23378692,43.08,40.59000015258789
"[104.1971492415451, 30.659267648200945, 55, '17:53:47']",21183052,27500569,19997723,23063302,45.34,40.59000015258789
"[104.1971492415451, 30.659267648200945, 57, '17:53:48']",21370603,26930233,19489499,23037142,45.34,40.59000015258789
"[104.1971492415451, 30.659267648200945, 58, '17:53:49']",21370603,26930233,19489499,23037142,45.34,40.59000015258789
"[104.1986447887622, 30.659401163556403, 59, '17:53:49']",20822166,25764825,19046615,21716133,43.08,40.59000015258789
"[104.1986447887622, 30.659401163556403, 60, '17:53:50']",20822166,25764825,19046615,21716133,43.08,40.59000015258789
"[104.1986447887622, 30.659401163556403, 61, '17:53:50']",22411587,26091277,19377821,21957230,43.08,40.59000015258789
"[104.1986447887622, 30.659401163556403, 62, '17:53:51']",22411587,26091277,19377821,21957230,43.08,40.59000015258789
"[-51127.98336662477, -4543.106584944489, 63, '17:53:51']",23754827,26316358,21523343,26689186,40.59,40.59000015258789
"[-51127.98336662477, -4543.106584944489, 64, '17:53:52']",23754827,26316358,21523343,26689186,40.59,40.59000015258789
"[-51127.98336662477, -4543.106584944489, 65, '17:53:53']",23178635,25853709,19462946,22148284,40.59,40.59000015258789
"[-51127.98336662477, -4543.106584944489, 66, '17:53:53']",23178635,25853709,19462946,22148284,40.59,40.59000015258789
"[-51127.98336662477, -4543.106584944489, 67, '17:53:54']",24847935,27653105,20861635,24695285,40.59,40.59000015258789
"[-51127.98336662477, -4543.106584944489, 68, '17:53:55']",24847935,27653105,20861635,24695285,40.59,40.59000015258789
"[104.1986447887622, 30.659401163556403, 69, '17:53:55']",24354025,27246248,20591994,25145827,43.08,40.59000015258789
"[104.1986447887622, 30.659401163556403, 70, '17:53:56']",24354025,27246248,20591994,25145827,43.08,40.59000015258789
