count,time,ch1,ch2,ch3,ch4,s10_matched_angle,s8_matched_angle,main_distance,slove_distance
"[104.22824788857909, 30.6605499379026, 1, '17:52:22']",22745168,27818744,20391362,23103520,43.08,42.83000183105469
"[104.22824788857909, 30.6605499379026, 2, '17:52:25']",22745168,27818744,20391362,23103520,43.08,42.83000183105469
"[104.22824788857909, 30.6605499379026, 3, '17:52:26']",22699515,26994550,20128488,24077396,43.08,42.83000183105469
"[104.20360155617257, 30.6595935152789, 4, '17:52:27']",22699515,26994550,20128488,24077396,43.08,42.08399963378906
"[104.20360155617257, 30.6595935152789, 5, '17:52:28']",20856630,25772929,19177766,21420269,43.08,42.08399963378906
"[104.20360155617257, 30.6595935152789, 6, '17:52:29']",20856630,25772929,19177766,21420269,43.08,42.08399963378906
"[104.16374779646549, 30.6572435265943, 7, '17:52:31']",22690965,26154299,19980316,22781632,41.83,42.08399963378906
"[104.16374779646549, 30.6572435265943, 8, '17:52:32']",22690965,26154299,19980316,22781632,41.83,42.08399963378906
"[104.19010612508566, 30.658797753208244, 9, '17:52:33']",23595122,25482469,19424606,22243783,40.59,42.08399963378906
"[104.19010612508566, 30.658797753208244, 10, '17:52:36']",23595122,25482469,19424606,22243783,40.59,42.08399963378906
"[104.20360155617257, 30.6595935152789, 11, '17:52:37']",21618556,25753553,19292777,22098185,43.08,42.08399963378906
"[104.20360155617257, 30.6595935152789, 12, '17:52:37']",21618556,25753553,19292777,22098185,43.08,42.08399963378906
"[104.20360155617257, 30.6595935152789, 13, '17:52:38']",22926305,27603876,20843201,23388150,43.08,42.08399963378906
"[104.1986447887622, 30.659401163556403, 14, '17:52:39']",22926305,27603876,20843201,23388150,43.08,40.59000015258789
"[104.1986447887622, 30.659401163556403, 15, '17:52:40']",22532966,27511481,19715315,22623176,43.08,40.59000015258789
"[104.1986447887622, 30.659401163556403, 16, '17:52:41']",22532966,27511481,19715315,22623176,43.08,40.59000015258789
"[104.1971492415451, 30.659267648200945, 17, '17:52:43']",25003924,27955390,20800612,27214998,45.34,40.59000015258789
"[104.1971492415451, 30.659267648200945, 18, '17:52:44']",25003924,27955390,20800612,27214998,45.34,40.59000015258789
"[104.1971492415451, 30.659267648200945, 19, '17:52:45']",24506460,28350225,20839900,26764692,45.34,40.59000015258789
"[104.1971492415451, 30.659267648200945, 20, '17:52:46']",24506460,28350225,20839900,26764692,45.34,40.59000015258789
"[104.1971492415451, 30.659267648200945, 21, '17:52:47']",23170324,27048362,19727365,24303295,45.34,40.59000015258789
"[104.1971492415451, 30.659267648200945, 22, '17:52:49']",23170324,27048362,19727365,24303295,45.34,40.59000015258789
"[104.1971492415451, 30.659267648200945, 23, '17:52:50']",24028929,27117810,20323192,25532003,45.34,40.59000015258789
"[104.19736102031551, 30.659266193411497, 24, '17:52:51']",24028929,27117810,20323192,25532003,45.34,41.0880012512207
"[104.19736102031551, 30.659266193411497, 25, '17:52:52']",21568995,26247308,19616115,24463577,45.34,41.0880012512207
"[104.19736102031551, 30.659266193411497, 26, '17:52:53']",21568995,26247308,19616115,24463577,45.34,41.0880012512207
